LogID,Timestamp,Approach,ServerID,ResponseTime,Utilization,TaskLoad,TotalTasks,AlgorithmUsed,SimulationID
1761583231986212,1761583231.9862118,RoundRobin,Server-1,1.0826803531438405,24.23,24.23,1,RR,
1761583232008222,1761583232.0082219,RoundRobin,Server-2,0.8761067583186706,14.99,14.99,1,RR,
1761583232030268,1761583232.0302682,RoundRobin,Server-3,0.8789910549146626,20.42,20.42,1,RR,
1761583232051827,1761583232.0518272,RoundRobin,Server-4,1.5660570204176565,51.36999999999999,51.37,1,RR,
1761583232073345,1761583232.073345,RoundRobin,Server-5,0.7673393729676066,16.26,16.26,1,RR,
1761583232094096,1761583232.094096,RoundRobin,Server-6,0.6874188875439714,12.27,12.27,1,RR,
1761583232115610,1761583232.11561,RoundRobin,Server-7,0.6152455911070448,6.9,6.9,1,RR,
1761583232137672,1761583232.1376717,RoundRobin,Server-8,0.8379022755126135,13.489999999999998,13.49,1,RR,
1761583232158539,1761583232.158539,RoundRobin,Server-9,0.7198337034409232,11.0,11.0,1,RR,
1761583232179455,1761583232.1794548,RoundRobin,Server-10,0.6175255605874227,5.1,5.1,1,RR,
1761583232200510,1761583232.2005103,RoundRobin,Server-11,1.463242535771179,49.15,49.15,1,RR,
1761583232222049,1761583232.2220492,RoundRobin,Server-12,0.7587573711259481,13.88,13.88,1,RR,
1761583232243789,1761583232.2437887,RoundRobin,Server-13,0.9208407137946181,25.56,25.56,1,RR,
1761583232264623,1761583232.2646232,RoundRobin,Server-14,1.6348387526362353,59.68,59.68,1,RR,
1761583232286154,1761583232.2861536,RoundRobin,Server-15,1.0338727716603888,25.53,25.53,1,RR,
1761583232311688,1761583232.3116884,RoundRobin,Server-16,0.8632177873226506,21.68,21.68,1,RR,
1761583232336777,1761583232.3367772,RoundRobin,Server-17,2.1720567699020314,74.35,74.35,1,RR,
1761583232361742,1761583232.3617415,RoundRobin,Server-18,0.8024999069307436,11.54,11.54,1,RR,
1761583232388307,1761583232.3883069,RoundRobin,Server-19,0.8730072664290889,19.6,19.6,1,RR,
1761583232413067,1761583232.413067,RoundRobin,Server-20,0.7608719916630136,9.65,9.65,1,RR,
1761583232767510,1761583232.7675104,RoundRobin,Server-21,0.9086246731027273,16.5,16.5,1,RR,
1761583232798058,1761583232.7980583,RoundRobin,Server-22,0.7315716723571963,13.28,13.28,1,RR,
1761583232829093,1761583232.8290925,RoundRobin,Server-23,0.8595951354894324,18.7,18.7,1,RR,
1761583232860019,1761583232.860019,RoundRobin,Server-24,0.886182588979413,21.35,21.35,1,RR,
1761583232893595,1761583232.8935955,RoundRobin,Server-25,0.7692321879267613,10.42,10.42,1,RR,
1761583232923678,1761583232.9236784,RoundRobin,Server-1,1.5674956232159167,77.10078578965822,70.51,2,RR,
1761583233229394,1761583233.2293942,RoundRobin,Server-2,1.4085016088539322,74.46887887802318,69.26,2,RR,
1761583233257283,1761583233.2572832,RoundRobin,Server-3,0.8249639915607088,11.342522193059656,5.08,2,RR,
1761583233280857,1761583233.280857,RoundRobin,Server-4,1.4777716237172078,45.67185656731065,16.17,2,RR,
1761583233305412,1761583233.3054123,RoundRobin,Server-5,0.8486081994824206,17.387062350976652,8.27,2,RR,
1761583233329964,1761583233.329964,RoundRobin,Server-6,0.7202990983524209,14.67104481997742,12.16,2,RR,
1761583233354609,1761583233.3546095,RoundRobin,Server-7,0.7247508455113075,19.832746894555246,16.74,2,RR,
1761583233380246,1761583233.380246,RoundRobin,Server-8,0.8562273420542719,22.063591248676083,13.23,2,RR,
1761583233406114,1761583233.4061139,RoundRobin,Server-9,0.82110015600346,17.966998579645157,15.12,2,RR,
1761583233430118,1761583233.430118,RoundRobin,Server-10,0.9938054497584559,46.511562694060665,44.82,2,RR,
1761583233675796,1761583233.6757963,RoundRobin,Server-11,1.6987293591116277,78.61059771123638,51.19,2,RR,
1761583233699497,1761583233.699497,RoundRobin,Server-12,0.8772013566307963,29.858381415528708,21.48,2,RR,
1761583233724299,1761583233.7242994,RoundRobin,Server-13,1.0883482046720503,35.6194509832621,21.32,2,RR,
1761583233747814,1761583233.747814,RoundRobin,Server-14,1.5925492833576855,59.28701884140987,22.1,2,RR,
1761583233774217,1761583233.7742167,RoundRobin,Server-15,1.4024962488760864,71.28453468024932,54.67,2,RR,
1761583233797728,1761583233.797728,RoundRobin,Server-16,0.9679239707433993,28.652908735954043,19.79,2,RR,
1761583233821242,1761583233.8212419,RoundRobin,Server-17,2.511430316301249,0.0,72.42,2,RR,
1761583233845566,1761583233.8455658,RoundRobin,Server-18,0.7557576920682799,14.343526519072924,7.22,2,RR,
1761583233870875,1761583233.8708754,RoundRobin,Server-19,0.9250930490867288,20.15927710206443,8.63,2,RR,
1761583233895721,1761583233.8957214,RoundRobin,Server-20,0.8230435319466674,15.651951485776882,10.3,2,RR,
1761583233920377,1761583233.920377,RoundRobin,Server-21,0.9277784631939289,25.697993973350574,17.96,2,RR,
1761583233944588,1761583233.9445877,RoundRobin,Server-22,0.8451975381053636,28.190570882745142,21.39,2,RR,
1761583234211500,1761583234.2115004,RoundRobin,Server-23,1.268751765147967,61.357168916225966,52.39,2,RR,
1761583234238816,1761583234.2388155,RoundRobin,Server-24,1.256329049069949,55.33985478427794,41.56,2,RR,
1761583234264656,1761583234.2646563,RoundRobin,Server-25,0.836033297219375,17.366010370339282,10.32,2,RR,
1761583234291287,1761583234.2912867,RoundRobin,Server-1,1.6259082237655242,62.00056616478465,30.64,3,RR,
1761583234318660,1761583234.3186595,RoundRobin,Server-2,1.369406897193694,38.000257265805345,10.98,3,RR,
1761583234343375,1761583234.3433752,RoundRobin,Server-3,0.7982865211436598,15.049239571739784,7.21,3,RR,
1761583234366195,1761583234.3661954,RoundRobin,Server-4,1.4293980484923612,45.1994815448633,12.23,3,RR,
1761583234391797,1761583234.3917966,RoundRobin,Server-5,1.0370283971681185,42.35666208464843,30.43,3,RR,
1761583234416652,1761583234.416652,RoundRobin,Server-6,0.7756286534998971,16.584444426383968,6.66,3,RR,
1761583234441924,1761583234.4419243,RoundRobin,Server-7,1.0148516979880118,61.030063168196456,46.58,3,RR,
1761583234467506,1761583234.467506,RoundRobin,Server-8,0.9135606557931443,27.23854727006812,10.5,3,RR,
1761583234835649,1761583234.8356493,RoundRobin,Server-9,1.0498248585850434,53.05611840438622,46.3,3,RR,
1761583234861527,1761583234.8615274,RoundRobin,Server-10,1.1307906062590989,45.19021371021868,21.03,3,RR,
