LogID,Timestamp,Approach,ServerID,ResponseTime,Utilization,TaskLoad,TotalTasks,AlgorithmUsed,SimulationID
1761249176361436,1761249176.3614364,ACO,Server-1,0.6807249589485996,18.14,18.14,1,ACO,
1761249176387193,1761249176.3871932,ACO,Server-18,0.7399877481933619,25.89,25.89,1,ACO,
1761249176410839,1761249176.4108386,ACO,Server-4,0.8486812706330211,43.66,43.66,1,ACO,
1761249176438606,1761249176.4386055,ACO,Server-19,0.7623808102161571,26.58,26.58,1,ACO,
1761249176463358,1761249176.4633584,ACO,Server-20,0.549641157086962,15.18,15.18,1,ACO,
1761249176490272,1761249176.490272,ACO,Server-17,0.7285336996475047,22.71,22.71,1,ACO,
1761249176516769,1761249176.516769,ACO,Server-18,0.8851706912440962,58.71212487561592,42.57,2,ACO,
1761249176542404,1761249176.542404,ACO,Server-12,0.5400957983063231,12.02,12.02,1,ACO,
1761249176568804,1761249176.568804,ACO,Server-13,0.7519949907774286,36.2,36.2,1,ACO,
1761249176595840,1761249176.59584,ACO,Server-15,0.5254277370122817,10.62,10.62,1,ACO,
1761249176622303,1761249176.6223032,ACO,Server-7,0.6018638023928642,15.299999999999999,15.3,1,ACO,
1761249176648069,1761249176.648069,ACO,Server-13,0.796799950834018,37.00569311163706,17.76,2,ACO,
1761249176675106,1761249176.6751056,ACO,Server-22,0.9847581897068067,58.64,58.64,1,ACO,
1761249176703040,1761249176.7030404,ACO,Server-21,0.6436484339790606,14.800000000000002,14.8,1,ACO,
1761249176730437,1761249176.7304373,ACO,Server-15,0.5505058268423324,13.290818073741361,6.06,2,ACO,
1761249176755080,1761249176.75508,ACO,Server-22,0.8914239738469523,39.06931526709765,11.54,2,ACO,
1761249176780962,1761249176.7809622,ACO,Server-14,0.5962350054731335,14.790000000000001,14.79,1,ACO,
1761249176807410,1761249176.8074095,ACO,Server-9,0.9769017380761854,57.35,57.35,1,ACO,
1761249177125908,1761249177.1259084,ACO,Server-21,0.7395547326290693,31.21992317742082,23.25,2,ACO,
1761249177161298,1761249177.161298,ACO,Server-14,0.6400888949611234,21.47514919874316,17.66,2,ACO,
1761249177192394,1761249177.1923945,ACO,Server-7,0.5630249403732515,13.49854927599696,5.25,2,ACO,
1761249177222056,1761249177.2220564,ACO,Server-15,0.5979721838325148,23.11233894387692,13.09,3,ACO,
1761249177250920,1761249177.2509203,ACO,Server-18,0.9132819635936222,58.923688832423615,22.79,3,ACO,
1761249177282124,1761249177.2821236,ACO,Server-10,1.057771675111044,52.25,52.25,1,ACO,
1761249177313451,1761249177.3134508,ACO,Server-17,0.6921009554601656,24.19745852447942,19.11,2,ACO,
1761249177583617,1761249177.5836174,ACO,Server-5,0.6712606821194607,20.78,20.78,1,ACO,
1761249177613600,1761249177.6136005,ACO,Server-25,0.5917562746937997,11.72,11.72,1,ACO,
1761249177642482,1761249177.6424823,ACO,Server-10,0.8918995530306555,33.58691720440371,6.7,2,ACO,
1761249177668242,1761249177.668242,ACO,Server-12,0.5605383252155591,14.113050912413605,10.74,2,ACO,
1761249177695313,1761249177.6953127,ACO,Server-12,0.6301209515075031,29.207467745548925,23.15,3,ACO,
1761249177723826,1761249177.723826,ACO,Server-24,0.53853072741214,10.08,10.08,1,ACO,
1761249177751588,1761249177.7515879,ACO,Server-20,0.6992143177693717,32.33179197881428,23.89,2,ACO,
1761249177776274,1761249177.7762737,ACO,Server-10,0.9299383838940654,47.298080816129925,16.72,3,ACO,
1761249177801737,1761249177.8017366,ACO,Server-1,0.6363177780054807,12.923336310085922,8.64,2,ACO,
1761249177827901,1761249177.8279014,ACO,Server-19,0.6812629135807963,21.280254075785106,13.34,2,ACO,
1761249177999724,1761249177.9997244,ACO,Server-6,0.7161936988409635,26.810000000000002,26.81,1,ACO,
